Food Resource Type,Agency,Location,Operational Status,Operational Notes,Current Process for Distribution,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Student To-Go Meals,Auburn School District,Washington  Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"20 E Street NE, Auburn, WA 98002",47.3082196,-122.222254,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=21,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Auburn High School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"711 E Main Street, Auburn, WA 98002",47.3083141,-122.2189844,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Lakeview  Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"16401 SE 318th, Auburn, WA 98092",47.3166394,-122.1222312,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",08/21/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Evergreen Heights Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"5602 S 316th, Auburn, WA 98001",47.3194619,-122.2636961,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=16,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Burndale,Closed,No summer meals,Drive Up/Walk Up,Youth and Young Adults,"1044 18th St NE, Auburn, WA 98002",47.3240149,-122.2159597,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=2,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Lea Hill  Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"30908 124th Avenue SE, Auburn, WA 98092",47.3248664,-122.1754302,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Rainier  Middle School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"30620 116th Avenue SE, Auburn, WA 98092",47.3274578,-122.1855687,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Cascade  Middle School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"1015 24th Street NE, Auburn, WA 98002",47.3291386,-122.2157767,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:30 pm",08/21/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Auburn Mountainview High School,Open,summer meals offered. additional locations at bus stop. last date of summer meals August 31st,Drive Up/Walk Up,Youth and Young Adults,"28900 124th Ave SE, Auburn, WA 98092",47.3419617,-122.171867,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:30 pm",08/21/2020 12:00:00 AM
Meal,Aurora Commons,,Limited Operations,"Temporarily closed drop-in services and instead are offering meals, hygiene, clothing, and supplies through our front door and are allowing people to enter through the back door one at a time to use the restroom.",Drive Up/Walk Up,General Public,"8914 Aurora Ave N, Seattle, WA 98103",47.6938816,-122.3442384,(206)-299-2278,http://www.auroracommons.org/,"Mon, Tues, Wed, Thurs
10:00 am - 1:00 pm",10/30/2020 12:00:00 AM
Student To-Go Meals,Backpack Pantry/St John Vianney,,Limited Operations,"Program delivers to schools and schools distribute. Provides nutritious easy to prepare food for over the weekends for youth. Bags contain 2 breakfasts, 2 lunches and enough for 2 dinners along with a variety of snacks.",Home Delivery and Drive Up/Walk Up,Contact Agency for Any Eligibility Requirements,"16100 115th Ave SW, Vashon, WA 98070",47.4609567,-122.4805318,(206)-463-2142,http://www.stjohnvianney.org/ministries/social-services/receive-assistance/,Weekend delivery to schools,10/02/2020 12:00:00 AM
Food Bank,Ballard Food Bank,Ballard Food Bank,Open,"Drive thru food bank only during listed hours.
Home delivery: Tuesday- Thursday
Sandwiches and no-cook bags available all open hours as well as Tues: 11:00 am - 4:00 pm",Home Delivery and Drive Up/Walk Up,General Public,"5130 Leary Ave NW, Seattle, WA 98107",47.6656752,-122.3804563,(206)-789-7800,http://www.ballardfoodbank.org/,"Mon: 2:00 pm - 6:00 pm
Wed: 12:00 pm - 4:00 pm
Thurs: 2:00 pm - 6:00 pm",10/29/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Enatai Elementary School,Open,"A breakfast and lunch will be offered for each child.  Pick Up Window: 3:30 to 4:30 p.m.
Pick up at the main entry of the school.",Drive Up/Walk Up,Youth and Young Adults,"10700 SE 25th St, Bellevue, WA 98004",47.5891008,-122.198356,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs 
3:30 am - 4:30 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Newport Heights Elementary,Open,A breakfast and lunch will be offered for each child. Pick Up Window: 3:30 to 4:30 p.m.,Drive Up/Walk Up,Youth and Young Adults,"5225 119th Ave SE, Bellevue, WA 98006",47.5555276,-122.1814011,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, 
3:30 - 4:30 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Tyee Middle School,Open,"A breakfast and lunch will be offered for each child. Pick Up Window: 4:00 to 5:00 p.m.
Pick up at the main entry of the school.",Drive Up/Walk Up,Youth and Young Adults,"13630 SE Allen Road, Bellevue, WA 98006",47.5736906,-122.158441,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, Fri
 4:00 to 5:00 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Tillicum Middle School,Open,"A breakfast and lunch will be offered for each child. Pick Up Window: 3:30 to 4:30 p.m.
Pick up outside of the gyms; use the bus entrance which is between Phantom Lake and the main school entrance.",Drive Up/Walk Up,Youth and Young Adults,"1280 160th Ave SE, Bellevue, WA 98008",47.5988552,-122.1252355,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, Fri 3:30 to 4:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Lake Hills Elementary,Closed,Last day of summer meals August 13th. Please check the district website for updates,Drive Up/Walk Up,Youth and Young Adults,"14310 SE 12th St, Bellevue, WA 98007",47.600419,-122.1487891,,http://bsd405.org/services/nutrition-services/free-meals-for-kids-and-teens-summer-program/,"Mon, Tues, Wed, Thurs, 
11:30 am - 12:30 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Sammamish High School,Open,A breakfast and lunch will be offered for each child. Pick Up Window: 4:00 to 5:00 p.m.,Drive Up/Walk Up,Youth and Young Adults,"100 140th Ave SE, Bellevue, WA 98005",47.6085588,-122.1510663,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, 4:00 pm - 5:00 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Odle Middle School,Open,"A breakfast and lunch will be offered for each child. Pick Up Window: 4:30 to 5:30 p.m.
Pick up outside of the gyms; use the upper driveway as if you are going to the sports fields",Drive Up/Walk Up,Youth and Young Adults,"502 143rd Ave NE, Bellevue, WA 98007",47.6149746,-122.1487583,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, Fri
 4:30 to 5:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Stevenson Elementary,Closed,"No summer meals. Grab-and-Go or preorder.   Children do not need to be enrolled in the district, but they must be age 18 or younger to receive a meal.   Adults may purchase meals (breakfast $3.25; lunch $4.75).",Drive Up/Walk Up,Youth and Young Adults,"14220 NE 8th St, Bellevue, WA 98007",47.6178171,-122.1494929,,http://bsd405.org/services/nutrition-services/free-meals/,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:00 pm",09/17/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Highland Middle School,Open,A breakfast and lunch will be offered for each child. Pick Up Window: 4:30 to 5:30 p.m.,Drive Up/Walk Up,Youth and Young Adults,"15027 NE Bel/Red Road, Bellevue, WA 98007",47.6265419,-122.1400787,,http://bsd405.org/services/nutrition-services/meals2go/#times,"Mon, Tues, Wed, Thurs, Fri
 4:30 to 5:30 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Bellevue School District,Sherwood Forest Elementary,Closed,Last day of summer meals August 13th. Please check the district website for updates,Drive Up/Walk Up,Youth and Young Adults,"16411 NE 24th Street, Bellevue, WA 98008",47.6304354,-122.1201752,,http://bsd405.org/services/nutrition-services/free-meals-for-kids-and-teens-summer-program/,"Mon, Tues, Wed, Thurs
11:30 am - 12:30 pm",09/17/2020 12:00:00 AM
Food Bank & Meal,Bethany Community Church,Food Pantry and Meals,Open,"Food Bank continues on a weekly basis, and  Community Meal is providing to-go meals to anyone who needs it.",Drive Up/Walk Up,General Public,"80230 Green Lake Dr N, Seattle, WA 98103",47.6873209,-122.3411453,(206)-524-9000,http://www.churchbcc.org/greenlake/serve/local-outreach,"Food Bank: 
Mon: 6:00 pm - 7:00 pm  
Community Meal: 
Second and Last Mon of every month 6:00 pm - 7:00 pm to go only",10/29/2020 12:00:00 AM
Food Bank & Meal,Blessed Sacrament,Blessed Sacrament Sunday Meal and Food Bank,Open,"Food Bank: Home Delivery only
Meals: To-go boxes",Home Delivery and Drive Up/Walk Up,General Public,"5050 8th Ave NE, Seattle, WA 98105",47.6664368,-122.3190289,(206)-547-3020,http://www.blessed-sacrament.org/outreach,"Food Bank:
Home Delivery and/or Fri: 10:30 am - 12:00 pm

Meal Program:
Sun: 12:00 pm - 2:00 pm",10/29/2020 12:00:00 AM
Meal,Boys and Girls Club,BGC Bellevue -Hidden Village,Limited Operations,Lunch provided for participants in full-day remote learning programs only. Registration required.,Onsite,Youth and Young Adults,"14508 SE 24th Street, Bellevue, WA 98007",47.5892919,-122.1441562,(425)-429-6377,http://www.bgcbellevue.org/,"Mon, Tues, Wed, Thurs, Fri 
11:30 am -12:30 pm
Lunch provided for registered participants only.",10/30/2020 12:00:00 AM
Meal,Boys and Girls Club,BGC Bellevue -Spiritwood Manor,Limited Operations,Lunch provided for participants in full-day remote learning programs only. Registration required.,Onsite,Youth and Young Adults,"1424 148th Avenue SE, Bellevue, WA 98007",47.5982727,-122.1416792,(425)-505-2819,http://www.bgcbellevue.org/,"Mon, Tues, Wed, Thurs, Fri 
11:30 am -12:30 pm
Lunch provided for registered participants only.",10/30/2020 12:00:00 AM
Meal,Boys and Girls Club,BGC Bellevue -Downtown,Limited Operations,Lunch provided for participants in full-day remote learning programs only. Registration required.,Onsite,Youth and Young Adults,"209 100th Avenue NE, Bellevue, WA 98004",47.6123297,-122.2072982,(425)-454-6162,http://www.bgcbellevue.org/,"Mon, Tues, Wed, Thurs, Fri 
11:30 am -12:30 pm
Lunch provided for registered participants only.",10/01/2020 12:00:00 AM
